programid	title	genre	channel	broadcasttime	period	country	director
57700	장난스런 키스 특별판	국내드라마					
57701	G20	시사교양	EBS	월, 화 21시 50분		한국	
57702	미래를 준비하는 교육인재정책	시사교양	EBS	월 ~ 금 24시 45분		한국	
57703	세계의 문화 콘텐츠	시사교양	EBS	월 ~ 목 24시 05분		한국	
57704	피아니스트	국내드라마	KBS2	토 23시 00분		한국	
57705	카운트 다운	연예/오락					
57706	KARA의 이중생활	해외드라마					
57707	어서 말을 해	국내드라마	KBS2	토 23시 15분		한국	
57708	오! 해피데이	연예/오락	MBC	일 21시 50분		한국	
57709	아인슈타인이 발견한 사랑	국내드라마	KBS2			한국	
57710	포커페이스 시즌1	연예/오락					
57711	무한걸스 시즌3	연예/오락					
57712	SOS 성형 구조대 시즌2	연예/오락					
57713	백점만점 전국 아이돌 체전	연예/오락	KBS2	토 17시 10분		한국	
57714	최후의 툰드라	시사교양	SBS	일 23시 00분		한국	
57715	퍼니스트 홈 비디오 시즌13	연예/오락					
57716	퍼니스트 홈 비디오 시즌16	연예/오락					
57717	시청자 여러분! 고맙습니다	기타	SBS	일 16시 30분		한국	
57718	데스티네이션 X 시즌1	연예/오락					
57719	생방송! KBC 투데이	시사교양	KBC 광주방송	월 ~ 목 18시 30분		한국	
57720	컨텐더 시즌1	연예/오락					
57721	청춘데이트	연예/오락	MBC			한국	
57722	아메리카 베스트 댄스 크루 시즌5	연예/오락					
57723	Mr. 아모레 꼬시기	연예/오락					
57724	학교전설	연예/오락	SBS	토 17시 00분			
57725	오사카 러브 & 소울: 이 나라에 산다는 것	해외드라마					
57726	명사들의 사랑나눔	기타	MBC	목 09시 45분			
57727	아프리카의 눈물	시사교양	MBC	금 23시 10분		한국	
57728	2010 어린이에게 새생명을	시사교양	MBC	화 14시 50분		한국	
57729	미워도 다시 한번	연예/오락					
57730	학교란 무엇인가	시사교양	EBS	금 21시 50분		한국	
57731	와티와티 누구일까요?	애니메이션					
57732	못말리는 어린양 숀	애니메이션					
57733	카라	연예/오락					
57734	레인보우	연예/오락					
57735	식신 로드	연예/오락					
57736	우종완 강수정의 소원을 말해봐	연예/오락					
57737	탑 셰프 마스터즈 시즌2	연예/오락					
57738	두 남자의 B급 랭킹	연예/오락					
57739	미사키 넘버 원!!	해외드라마					
57740	악당~중범죄수사반~	해외드라마					
57742	러브 토너먼트	연예/오락					
57743	쿼텟	해외드라마					
57744	소중한 것은 모두 네가 가르쳐줬어	해외드라마					
57745	네버랜드	연예/오락					
57746	이하늬의 My Sweet Canada	연예/오락					
57747	슈퍼주니어의 선견지명	연예/오락					
57748	이수근의 게릴라 키친	연예/오락					
57749	고스트 메신저	애니메이션					
57750	스타워즈: 클론전쟁 시즌1	애니메이션					
57751	스타워즈: 클론전쟁 시즌2	애니메이션					
57752	스타워즈: 클론전쟁 시즌3	애니메이션					
57753	사쿠라신쥬	해외드라마					
57754	정글스토리	시사교양					
57755	MAMA 더 슈퍼 모멘트	기타					
57756	황당 그것이 알고 싶다	연예/오락	SBS			한국	
57757	사랑을 믿어요	국내드라마	KBS2	토, 일 19시 55분		한국	
57758	합의 교섭인 분쟁 해소	해외드라마					
57759	고마워 웃게 해줘서	국내드라마	KBS1	토 23시 10분		한국	
57760	트라이앵글 시즌1	연예/오락					
57761	스위트룸 시즌1	시사교양					
57762	신기생뎐	국내드라마	SBS	토, 일 21시 50분		한국	
57763	데카완코: 강아지코 소녀형사의 킁킁 수사파일	해외드라마					
57764	대동강	국내드라마	KBS1			한국	
57765	바텐더	해외드라마					
57766	박장대소	기타	KBS1	일 09시 00분		한국	
57767	임요환의 날개	시사교양					
57768	철퍼덕 하우스 시즌2 더 퀸	연예/오락					
57769	내가 니 앱이다 시즌1	연예/오락					
57770	나는 이혼하지 않는다	국내드라마	KBS2	월 ~ 토 09시 00분		한국	
57771	파리공원의 아침	국내드라마	KBS2			한국	
57772	외교관 쿠로다 코사쿠	해외드라마					
57773	이홍렬의 펀펀한 북카페	시사교양					
57774	박나림의 하늘빛 향기	시사교양					
57775	독수리 5형제	시사교양					
57776	스쿨!!	해외드라마					
57777	김구라의 쇼! 크라테스	연예/오락					
57778	생명의 삶	시사교양					
